B2C_MU_03,MU,SHA,WUH,2019-01-27,MU9363,F,4700.0,4,标准头等舱,2019-01-04 09:31:27 565
B2C_MU_03,MU,SHA,WUH,2019-01-27,MU9363,J,3750.0,4,标准公务舱,2019-01-04 09:31:27 565
B2C_MU_03,MU,SHA,WUH,2019-01-27,MU9363,Y,2060.0,10,标准经济舱,2019-01-04 09:31:27 565
B2C_MU_03,MU,SHA,WUH,2019-01-27,MU2514,B,2040.0,10,折扣经济舱,2019-01-04 09:31:27 565
B2C_MU_03,MU,SHA,WUH,2019-01-27,MU2514,F,4700.0,5,标准头等舱,2019-01-04 09:31:27 565
B2C_MU_03,MU,SHA,WUH,2019-01-27,MU2514,J,3750.0,7,标准公务舱,2019-01-04 09:31:27 565
B2C_MU_03,MU,SHA,WUH,2019-01-27,MU2514,Y,2060.0,10,标准经济舱,2019-01-04 09:31:27 566
B2C_MU_03,MU,PVG,WUH,2019-01-27,MU2544,Y,2060.0,10,标准经济舱,2019-01-04 09:31:27 566
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9160,P,1120.0,2,超值头等舱,2019-01-04 09:31:27 568
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9160,Q,1940.0,3,折扣公务舱,2019-01-04 09:31:27 568
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9160,E,1550.0,10,折扣经济舱,2019-01-04 09:31:27 568
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9160,N,1180.0,10,折扣经济舱,2019-01-04 09:31:27 568
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9160,V,740.0,10,折扣经济舱,2019-01-04 09:31:27 568
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9160,T,610.0,10,折扣经济舱,2019-01-04 09:31:27 568
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9160,F,3700.0,7,标准头等舱,2019-01-04 09:31:27 568
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9160,J,3220.0,3,标准公务舱,2019-01-04 09:31:27 568
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9160,Y,1850.0,10,标准经济舱,2019-01-04 09:31:27 569
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU545,Q,1770.0,10,折扣公务舱,2019-01-04 09:31:27 569
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU545,W,1690.0,10,超级经济舱,2019-01-04 09:31:27 569
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU545,E,1450.0,10,折扣经济舱,2019-01-04 09:31:27 569
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU545,N,1180.0,10,折扣经济舱,2019-01-04 09:31:27 569
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU545,V,740.0,10,折扣经济舱,2019-01-04 09:31:27 569
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU545,T,550.0,2,折扣经济舱,2019-01-04 09:31:27 569
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU545,J,2940.0,10,标准公务舱,2019-01-04 09:31:27 569
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU545,Y,1690.0,10,标准经济舱,2019-01-04 09:31:27 569
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9176,Q,1940.0,1,折扣公务舱,2019-01-04 09:31:27 569
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9176,E,1550.0,10,折扣经济舱,2019-01-04 09:31:27 569
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9176,N,1180.0,10,折扣经济舱,2019-01-04 09:31:27 570
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9176,V,740.0,10,折扣经济舱,2019-01-04 09:31:27 570
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9176,F,3700.0,3,标准头等舱,2019-01-04 09:31:27 570
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9176,J,3220.0,3,标准公务舱,2019-01-04 09:31:27 570
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9176,Y,1850.0,10,标准经济舱,2019-01-04 09:31:27 570
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9180,Q,1940.0,2,折扣公务舱,2019-01-04 09:31:27 570
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9180,E,1550.0,10,折扣经济舱,2019-01-04 09:31:27 570
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9180,N,1180.0,10,折扣经济舱,2019-01-04 09:31:27 570
